# R22
# Temperature [degre C] / Pression relative [bar]
# Separation must be TAB !!!!
# 2 same valeurs of temperature will cause and issue and must be removed !!!!
-100	0,02
-90	0,048
-80	0,1035
-70	0,2044
-60	0,3747
-50	0,6449
-48	0,714
-46	0,789
-44	0,87
-42	0,9575
# -40	1,0132
-40	1,0518
-38	1,1533
-36	1,2623
-34	1,3793
-32	1,5045
-30	1,6384
-28	1,7815
-26	1,934
-24	2,0965
-22	2,2693
-20	2,4529
-18	2,6477
-16	2,8542
-14	3,0728
-12	3,304
-10	3,5482
-8	3,8059
-6	4,0775
-4	4,3636
-2	4,6646
0	4,9811
2	5,3134
4	5,6622
6	6,0279
8	6,4109
10	6,8119
12	7,2314
14	7,6698
16	8,1277
18	8,6056
20	9,1041
22	9,6236
24	10,165
26	10,728
28	11,314
30	11,924
32	12,557
34	13,215
36	13,898
38	14,606
40	15,341
42	16,103
44	16,892
46	17,709
48	18,555
50	19,431
55	21,753
60	24,274
65	27,008
70	29,967
75	33,168
80	36,627
85	40,368
90	44,416
95	48,82
96,14	49,9
